ID;title;stock;price;currency;author_ID
20e5c72e-0974-430c-bd4f-8e07835ff05c;title9155;2014;82307389.93;3as;9ff57f1b-9e38-458b-beec-19f0ae7a1e6e
46ba039b-76f1-4919-bdc7-e94e735388ed;title7908;5269;81100957.83;oew;7e246fd5-9aba-45cf-9e40-b2fa35128c8f
875c446f-fe4d-4f0d-86c2-bdb469e0458f;title9596;3808;74176616.89;EWW;7e246fd5-9aba-45cf-9e40-b2fa35128c8f
e2dc12f8-b277-47f1-86a0-d1c8ca4ace41;title8532;7494;70484530.58;xc2;06db5aad-cec9-4445-ab41-988c9666f75a
1b1a501c-7819-4241-adba-1b70d4679da6;title9086;331;72986382.09;CT3;06db5aad-cec9-4445-ab41-988c9666f75a
4f040fe5-9303-4a58-89ce-fc5daa64f4ba;title2970;7135;14042732.75;1Ay;5a74ade5-af72-438d-96d1-ec13b1ec3b70
450170b1-7dae-4cef-bbcf-b56ebc06af56;title5027;6471;10616340.57;ICS;9ff57f1b-9e38-458b-beec-19f0ae7a1e6e
55f2a0b5-a929-4973-b65c-3c4f5075e934;title5119;4379;18054189.67;DSS;9ff57f1b-9e38-458b-beec-19f0ae7a1e6e
a5988a7a-d275-4ee2-a537-4780d3b5ef6b;title4352;6649;21094033.49;0qw;7e246fd5-9aba-45cf-9e40-b2fa35128c8f
cb87f4d7-bfac-4f8c-91fb-f49434e75bed;title8574;1988;71344301.11;Wuu;f1db9c71-8619-49a7-a27d-95ae22382ea0
f37419b7-90b1-4788-b459-5c5b01809ea3;title2903;9374;43150322.73;rqB;9ff57f1b-9e38-458b-beec-19f0ae7a1e6e
0465ab96-e787-4271-9a19-bb007ee3a50a;title2680;7307;70174049.98;qFz;9ff57f1b-9e38-458b-beec-19f0ae7a1e6e
e1ee7b4d-6ee3-41eb-a144-ebb7551f9853;title172;3581;66017868.08;JVM;06db5aad-cec9-4445-ab41-988c9666f75a
620116b8-51da-4706-bcc7-71e121d23056;title6690;4951;30715804.25;Jhx;7e246fd5-9aba-45cf-9e40-b2fa35128c8f
d4f11e29-06df-4ea5-b782-3ab517a02689;title2728;5191;89726369.68;85v;06db5aad-cec9-4445-ab41-988c9666f75a
6fef5a26-41fe-4e92-94a8-68b11f8f44a5;title3058;9630;56625400.66;eNf;5a74ade5-af72-438d-96d1-ec13b1ec3b70
c10b9e3b-6833-449a-8a7b-8691198ec838;title1813;5618;90474900.37;d8f;7e246fd5-9aba-45cf-9e40-b2fa35128c8f
94873c78-254a-4e15-b375-e1a53e284ec3;title1847;8912;58595053.24;jKP;f1db9c71-8619-49a7-a27d-95ae22382ea0
b9168ebf-a509-41c9-8491-37ca56aa7ad3;title8131;7806;97966885.69;ufK;5a74ade5-af72-438d-96d1-ec13b1ec3b70
d566210d-f7d7-4c2f-95aa-9cf7218c4103;title2542;5746;13137013.26;A7m;7e246fd5-9aba-45cf-9e40-b2fa35128c8f
